,Origin,Destination,Average Flight Time
0,EWR,PSP,873.9090909090909
1,LAX,LIH,848.8333333333334
2,CVG,SFO,753.3
3,DTW,SFO,702.5
4,EWR,SNA,683.1052631578947
5,PHL,SFO,664.7307692307693
6,SFO,CVG,644.3333333333334
7,EWR,HNL,633.6785714285714
8,LAX,KOA,622.8666666666667
9,RDU,SFO,593.2857142857143
10,PSP,EWR,579.5833333333334
11,BOS,LAX,567.8421052631579
12,BNA,SFO,562.1666666666666
13,ATL,SFO,546.4074074074074
14,PIT,SFO,545.9375
15,EWR,PDX,544.516129032258
16,LIH,LAX,537.5333333333333
17,LAX,ITO,532.2
18,DEN,LIH,530.3333333333334
19,DEN,KOA,524.0
20,BOS,SFO,521.6632653061224
21,BWI,SFO,519.2105263157895
22,EWR,SEA,517.6875
23,SFO,LIH,508.76666666666665
24,ORD,ABQ,497.6
25,DEN,OGG,496.55555555555554
26,IND,SFO,490.25
27,IAD,HNL,489.8
28,HNL,EWR,489.6551724137931
29,FLL,SFO,479.95238095238096
30,LAX,OGG,474.5348837209302
31,SNA,EWR,472.4390243902439
32,EGE,IAD,469.75
33,EWR,MTJ,467.54545454545456
34,DFW,SFO,466.75
35,DCA,SFO,466.6190476190476
36,SFO,DTW,461.7142857142857
37,ITO,LAX,461.3333333333333
38,EWR,PHX,460.7543859649123
39,MIA,SFO,460.3181818181818
40,SFO,PHL,458.48275862068965
41,MSY,SFO,452.6470588235294
42,EWR,JAC,450.0625
43,EWR,BZN,448.47058823529414
44,EWR,SAN,441.2063492063492
45,TPA,SFO,439.7142857142857
46,MTJ,EWR,439.125
47,LIH,DEN,437.39130434782606
48,IAD,SMF,433.6923076923077
49,EWR,SLC,433.58620689655174
50,ORD,PSP,433.4
51,IAD,EGE,432.5
52,CLE,SFO,431.96153846153845
53,SFO,RDU,431.7241379310345
54,SFO,PIT,431.3125
55,ORF,IAH,430.3333333333333
56,KOA,DEN,429.8695652173913
57,SFO,BNA,424.8709677419355
58,LAX,AUS,424.5
59,DEN,ANC,421.7142857142857
60,IAD,SEA,421.5405405405405
61,KOA,LAX,420.57142857142856
62,LIH,SFO,419.43333333333334
63,SEA,EWR,418.125
64,RIC,DEN,417.375
65,SFO,ATL,415.4074074074074
66,STT,IAD,414.93333333333334
67,IAD,SFO,410.4172185430464
68,JAC,EWR,408.61538461538464
69,SFO,BOS,408.27659574468083
70,KOA,SFO,401.7169811320755
71,HNL,IAD,401.6
72,SFO,KOA,396.671875
73,LGA,IAH,395.6835443037975
74,PDX,EWR,392.2121212121212
75,SFO,OGG,391.9634146341463
76,ORD,GEG,391.8666666666667
77,LAX,BOS,390.35714285714283
78,STT,ORD,390.0
79,ANC,DEN,388.55
80,EWR,SFO,386.537037037037
81,ORF,DEN,384.1764705882353
82,ORD,SJC,382.89473684210526
83,IAH,PSP,382.6923076923077
84,BZN,EWR,378.9375
85,EWR,EGE,377.05263157894734
86,ORD,SMF,376.19444444444446
87,IAD,AUS,373.2307692307692
88,IAD,LAX,372.79646017699116
89,SFO,IND,371.0625
90,IAD,SAN,369.8076923076923
91,AUS,LAX,369.6666666666667
92,EWR,LAS,368.42748091603056
93,IAH,SEA,367.1764705882353
94,CLE,LAX,366.525
95,OGG,LAX,365.0681818181818
96,BGR,SFO,364.0
97,IAD,PHX,362.5217391304348
98,IAH,JAC,360.0
99,MCO,LAX,359.45
100,OGG,DEN,356.9655172413793
101,HNL,GUM,355.38235294117646
102,DEN,RIC,354.7142857142857
103,LAX,HNL,353.2043010752688
104,LGA,DEN,352.875
105,EWR,LAX,352.6296296296296
106,IAD,LAS,352.265306122449
107,SFO,MSY,351.05882352941177
108,ORD,SNA,350.1111111111111
109,SFO,BWI,347.6190476190476
110,HDN,IAD,347.5
111,EWR,SAT,346.72727272727275
112,EWR,DFW,346.2173913043478
113,IAH,HNL,346.15
114,SFO,FLL,345.8695652173913
115,SLC,EWR,345.25925925925924
116,IAD,RNO,343.0
117,ORD,EGE,342.2307692307692
118,IAH,SJC,340.4736842105263
119,ORD,HNL,338.52272727272725
120,DEN,ORF,338.5
121,SAT,EWR,337.5
122,SFO,DCA,335.72727272727275
123,EWR,AUS,335.36
124,OGG,SFO,335.0759493670886
125,PIT,SJC,335.0
126,ORD,STT,333.6666666666667
127,SFO,TPA,332.6818181818182
128,SFO,MIA,331.8333333333333
129,IAD,STT,331.7647058823529
130,MCO,SFO,329.49122807017545
131,PHL,IAH,327.45714285714286
132,ORD,TUS,327.3
133,JAX,DEN,326.6111111111111
134,SMF,IAD,326.5
135,SEA,IAD,321.7368421052632
136,SEA,IAH,321.0
137,IAH,ORF,320.1666666666667
138,IAH,PDX,319.69565217391306
139,DCA,IAH,319.6595744680851
140,ORD,SEA,318.6949152542373
141,SJC,ORD,318.6111111111111
142,ORD,OGG,318.3030303030303
143,IAH,SMF,317.6666666666667
144,PHX,EWR,316.8196721311475
145,CLE,IAH,316.27777777777777
146,SAN,EWR,316.05970149253733
147,BNA,DEN,314.0
148,STT,EWR,311.57142857142856
149,SJU,IAH,310.8979591836735
150,IAD,HDN,309.0
151,SFO,CLE,308.7037037037037
152,SMF,ORD,308.02777777777777
153,SFO,DFW,306.8333333333333
154,SFO,IAD,304.987012987013
155,EWR,DEN,304.6357142857143
156,ORD,PDX,302.54347826086956
